Document Name,Fileds,Fuzzy Page No,RAG Page Number,Real Page Number,,
8.pdf,start_date,3,3,3,,
8.pdf,company_names,1,8,1,,
8.pdf,service_provider_name,1,8,1,,
8.pdf,end_date,23,15,15,,
8.pdf,company_address,3,22,"3, 22",,
8.pdf,service_provider_address,3,22,"             3, 22",,
8.pdf,cola,27,9,27,,
8.pdf,number_of_fte,N/A,22,22,,
8.pdf,unit_rate,27,9,27,,
8.pdf,limitation_of_liability,2,15,15,,
9.pdf,start_date,1,1,1,,
9.pdf,company_names,1,1,1,,
9.pdf,service_provider_name,1,1,1,,
9.pdf,end_date,1,1,1,,
9.pdf,company_address,NA,NA,NA,,
9.pdf,service_provider_address,NA,NA,NA,,
9.pdf,cola,N/A,NA,NA,,
9.pdf,number_of_fte,1,1,1,,
9.pdf,unit_rate,1,1,1,,
9.pdf,limitation_of_liability,N/A,NA,NA,,
10.pdf,start_date,1,5,1,,
10.pdf,company_names,1,5,1,,
10.pdf,service_provider_name,1,1,1,,
10.pdf,end_date,N/A,NA,NA,,
10.pdf,company_address,N/A,NA,NA,,
10.pdf,service_provider_address,N/A,NA,NA,,
10.pdf,cola,N/A,NA,NA,,
10.pdf,number_of_fte,N/A,NA,NA,,
10.pdf,unit_rate,N/A,NA,NA,,
10.pdf,limitation_of_liability,N/A,5,5,,
11.pdf,start_date,1,1,1,,
11.pdf,company_names,1,1,1,,
11.pdf,service_provider_name,1,1,1,,
11.pdf,end_date,N/A,1,1,,
11.pdf,company_address,N/A,1,NA,,
11.pdf,service_provider_address,N/A,1,NA,,
11.pdf,cola,1,1,1,,
11.pdf,number_of_fte,N/A,NA,NA,,
11.pdf,unit_rate,1,1,1,,
11.pdf,limitation_of_liability,N/A,NA,NA,,
12.pdf,start_date,1,1,1,,
12.pdf,company_names,1,1,1,,
12.pdf,service_provider_name,3,1,"1,3",,
12.pdf,end_date,N/A,NA,NA,,
12.pdf,company_address,1,6,"1,6",,
12.pdf,service_provider_address,1,6,"1,6",,
12.pdf,cola,11,11,11,,
12.pdf,number_of_fte,N/A,NA,NA,,
12.pdf,unit_rate,N/A,11,11,,
12.pdf,limitation_of_liability,N/A,5,5,,
,,,,,,
,,43/50,42/50,,,
