file_name,query,page_no
8.pdf,What is the effective start date of the agreement or contract?,5
8.pdf,What is the name of the company or legal entity that is party to this contract?,8
8.pdf,What is the name of the service provider or vendor mentioned in the contract?,8
8.pdf,What is the termination or end date of the contract?,15
8.pdf,What is the official address of the company mentioned in this contract?,22
8.pdf,What is the official address of the service provider or vendor mentioned in this contract?,22
8.pdf,What is the cost of living adjustment (COLA) mentioned in the contract?,9
8.pdf,How many Full-Time Equivalents (FTE) are mentioned in this contract?,4
8.pdf,What is the unit rate for services mentioned in this contract?,9
8.pdf,What is the limitation of liability clause mentioned in this contract?,15
9.pdf,What is the effective start date of the agreement or contract?,1
9.pdf,What is the name of the company or legal entity that is party to this contract?,1
9.pdf,What is the name of the service provider or vendor mentioned in the contract?,1
9.pdf,What is the termination or end date of the contract?,1
9.pdf,What is the official address of the company mentioned in this contract?,1
9.pdf,What is the official address of the service provider or vendor mentioned in this contract?,1
9.pdf,What is the cost of living adjustment (COLA) mentioned in the contract?,1
9.pdf,How many Full-Time Equivalents (FTE) are mentioned in this contract?,1
9.pdf,What is the unit rate for services mentioned in this contract?,1
9.pdf,What is the limitation of liability clause mentioned in this contract?,1
10.pdf,What is the effective start date of the agreement or contract?,5
10.pdf,What is the name of the company or legal entity that is party to this contract?,5
10.pdf,What is the name of the service provider or vendor mentioned in the contract?,1
10.pdf,What is the termination or end date of the contract?,5
10.pdf,What is the official address of the company mentioned in this contract?,6
10.pdf,What is the official address of the service provider or vendor mentioned in this contract?,6
10.pdf,What is the cost of living adjustment (COLA) mentioned in the contract?,7
10.pdf,How many Full-Time Equivalents (FTE) are mentioned in this contract?,5
10.pdf,What is the unit rate for services mentioned in this contract?,7
10.pdf,What is the limitation of liability clause mentioned in this contract?,5
11.pdf,What is the effective start date of the agreement or contract?,1
11.pdf,What is the name of the company or legal entity that is party to this contract?,1
11.pdf,What is the name of the service provider or vendor mentioned in the contract?,1
11.pdf,What is the termination or end date of the contract?,1
11.pdf,What is the official address of the company mentioned in this contract?,1
11.pdf,What is the official address of the service provider or vendor mentioned in this contract?,1
11.pdf,What is the cost of living adjustment (COLA) mentioned in the contract?,1
11.pdf,How many Full-Time Equivalents (FTE) are mentioned in this contract?,1
11.pdf,What is the unit rate for services mentioned in this contract?,1
11.pdf,What is the limitation of liability clause mentioned in this contract?,1
12.pdf,What is the effective start date of the agreement or contract?,1
12.pdf,What is the name of the company or legal entity that is party to this contract?,1
12.pdf,What is the name of the service provider or vendor mentioned in the contract?,1
12.pdf,What is the termination or end date of the contract?,1
12.pdf,What is the official address of the company mentioned in this contract?,6
12.pdf,What is the official address of the service provider or vendor mentioned in this contract?,6
12.pdf,What is the cost of living adjustment (COLA) mentioned in the contract?,11
12.pdf,How many Full-Time Equivalents (FTE) are mentioned in this contract?,11
12.pdf,What is the unit rate for services mentioned in this contract?,11
12.pdf,What is the limitation of liability clause mentioned in this contract?,5
